title,condition,url,kind
"생물주권이야기 , 인문",청강가능,http://www.kmooc.kr/courses/course-v1:YeungnamUnivK+YU202201+2022_02/about,인문
"2030 축의 전환(2030), 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB10+2022_01/about,사회
"이윤기의 그리스 로마 신화(Greek and Roman Mythology), 인문",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB05+2022_01/about,인문
"지금 팔리는 것들의 비밀(When They Buy), 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB04+2022_01/about,사회
"보는 순간 사게 되는 1초 문구 (The power of a catchy phrase), 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB02+2022_01/about,사회
"위기인가? 삼성하라! (Is Crisis? Do Samsung!), 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB01+2022_01/about,사회
"게임 인류 (Gamification), 공학",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB03+2022_01/about,공학
"강원국의 어른답게 말합니다 (Speak like a real grown-up), 인문",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB09+2022_01/about,인문
"나의 월급 독립 프로젝트(My Salary Independent Project), 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB08+2022_01/about,사회
"약속의 땅(A Promised Land), 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB07+2022_01/about,사회
"언바운드(Unbound), 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB06+2022_01/about,사회
"의료기술평가 연구방법론, 의료",진행중,http://www.kmooc.kr/courses/course-v1:neca+NECA01+2022_T2/about,의료
"자원봉사 교육강사 만들기, 사회",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU18+2023_T1/about,사회
"건강보험 보장성강화 제대로 알기, 의료",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU15+2023_T1/about,의료
"자원봉사자 교육하기, 사회",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU16+2023_T1/about,사회
"자원봉사활동 지원하기, 사회",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU17+2023_T1/about,사회
"메타버스로 맛보는 서해바다, 도(道)시(視)락(樂), 사회",진행중,http://www.kmooc.kr/courses/course-v1:USW+USW07+2022_T1/about,사회
"양자정보처리 기초, 공학",진행중,http://www.kmooc.kr/courses/course-v1:KAISTk+EE547+2022_K22_01/about,공학
"위대한 수업2(GREAT MINDS) : 미래에서 온 영화, 예체능",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS015+2022_T1/about,예체능
"차이나는 K-클라스 : 하이테크와 예술의 만남, K-도자기(이애령), 예체능",청강가능,http://www.kmooc.kr/courses/course-v1:JTBC+JTBC018+2022_T1/about,예체능
"식품위생법규(Food Sanitation Act), 자연",진행중,http://www.kmooc.kr/courses/course-v1:DGUk+DGU_026k+DGU_026k_2022/about,자연
"발달지연 청소년의 참 세상살이를 위한 의사소통(4), 교육",진행중,http://www.kmooc.kr/courses/course-v1:DGUk+DGU_024k+DGU_024k_2022/about,교육
"진공 공학 및 설계, 공학",진행중,http://www.kmooc.kr/courses/course-v1:KSNU+KSNU05+2022-T2/about,공학
"위대한 수업2(GREAT MINDS) : 도시는 어떻게 성공하는가, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS014+2022_T1/about,사회
"코딩없는 SW개발, 공학",진행중,http://www.kmooc.kr/courses/course-v1:CAUk+CAU20K+2023-1/about,공학
"개인정보: 보호와 이용의 법과 권리, 사회",진행중,http://www.kmooc.kr/courses/course-v1:CAUk+CAU19K+2023-1/about,사회
"뇌과학: 현대인이 알아야할 지식들, 의료",진행중,http://www.kmooc.kr/courses/course-v1:CAUk+CAU18K+2023-1/about,의료
"미래교육과 에듀테크 , 교육",진행중,http://www.kmooc.kr/courses/course-v1:CAUk+CAU17K+2023-1/about,교육
"차이나는 K-클라스 : 지금은 웹툰 시대(한창완, 이종범), 예체능",청강가능,http://www.kmooc.kr/courses/course-v1:JTBC+JTBC017+2022_T1/about,예체능
"위대한 수업2(GREAT MINDS) : 국가는 무엇을 해야 하나, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS013+2022_T1/about,사회
"차이나는 K-클라스 : 뮤지컬 보러 한국 올래?(이지나), 예체능",청강가능,http://www.kmooc.kr/courses/course-v1:JTBC+JTBC016+2022_T1/about,예체능
"디지털 논리회로와 인공지능, 공학",진행중,http://www.kmooc.kr/courses/course-v1:DAUk+DAUk10+2022_T4/about,공학
"발달장애 자녀를 위한 상담기법, 사회",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU12+2022_T3/about,사회
"발달장애와 직업진로상담, 사회",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU13+2022_T3/about,사회
"발달장애인 직업재활, 사회",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU14+2022_T3/about,사회
"발달과 발달장애의 이해, 사회",진행중,http://www.kmooc.kr/courses/course-v1:BDUk+BDU11+2022_T3/about,사회
"영유아 발달, 교육",진행중,http://www.kmooc.kr/courses/course-v1:HKNU+HKNU001+2022_3/about,교육
"위대한 수업2(GREAT MINDS) : 다시, 오래된 미래, 자연",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS012+2022_T1/about,자연
"차이나는 K-클라스 : 1인치 장벽을 넘어선, K-배우의 힘(김신록, 백은하), 예체능",청강가능,http://www.kmooc.kr/courses/course-v1:JTBC+JTBC015+2022_T1/about,예체능
"Tsinghua Chinese: Start Talking with 1.3 Billion People, 인문",진행중,http://www.kmooc.kr/courses/course-v1:XuetangX+THc2021+2022_T2/about,인문
"Intermediate Accounting II, 사회",진행중,http://www.kmooc.kr/courses/course-v1:XuetangX+IAIIJNU+2022_T2/about,사회
"Winning in Business: The Art of War by Sun Tzu, 사회",진행중,http://www.kmooc.kr/courses/course-v1:XuetangX+JUFEZ+2022_T2/about,사회
"사회로 기초다지기 일본어, 인문",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_05+2022_1/about,인문
"문화로 입문하기 일본어 , 인문",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_04+2022_1/about,인문
"경제로 실력쌓기 일본어, 인문",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_06+2022_1/about,인문
"기술로 고수되기 일본어, 인문",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_07+2022_1/about,인문
"한국창업정책 60년사와 우수 기업 사례, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:SKKUk+skku_64+2022_T1/about,사회
"설득을 위한 언어, 인문",진행중,http://www.kmooc.kr/courses/course-v1:AJOU+AJOU03+2022_T1/about,인문
"위대한 수업2(GREAT MINDS) : 힌두학 개론, 인문",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS011+2022_T1/about,인문
"인공지능 기반 생체신호계측 및 이상치 검출, 공학",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_12+2022_T2/about,공학
"로봇공학과 인공지능, 공학",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_13+2022_T2/about,공학
"금융공학을 위한 인공지능, 공학",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_16+2022_T2/about,공학
"인공지능을 위한 파이썬 기초, 공학",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_17+2022_T2/about,공학
"한국의 민주주의와 민주화 운동Ⅱ, 사회",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_15+2022_T2/about,사회
"한국의 민주주의와 민주화 운동Ⅲ, 사회",진행중,http://www.kmooc.kr/courses/course-v1:JNUk+JNUk_18+2022_T2/about,사회
